o,d,f
076A,075A,212
076B,061B,155
076B,111B,132
076S,075S,135
076S,078S,105
076S,080S,181
076S,104S,116
076V,032V,144
076V,061V,117
077A,078A,685
077A,083A,1138
077B,048B,113
077B,078B,175
077B,094B,179
077B,128B,257
077M,073M,179
077S,075S,233
077S,094S,182
077V,046V,301
077V,098V,128
077V,140V,258
077V,149V,325
078A,077A,504
078A,081A,160
078A,083A,867
078B,097B,146
078M,074M,103
078M,079M,226
078S,076S,109
078S,079S,168
078S,099S,116
079A,080A,352
079A,083A,2961
079B,027B,302
079B,39GI,131
079M,078M,194
079M,288M,105
079S,078S,188
079S,080S,302
079S,081S,336
079S,097S,162
079S,098S,315
079S,099S,370
079V,113V,291
079V,125V,599
07CO,58CO,226
07CR,06CR,105
07CZ,08CZ,163
07CZ,15CZ,156
07CÑ,64CÑ,132
07GC,06GC,107
07GP,38GP,155
07HU,21BA,132
07JA,37JA,204
07LU,28LU,142
07ME,06ME,502
07OU,24OU,115
080A,077A,132
080A,079A,244
080A,081A,264
080A,083A,1868
080B,035B,160
080S,076S,222
080S,078S,102
080S,079S,338
080S,081S,332
080V,046V,326
080V,121V,238
081A,077A,328
081A,078A,375
081A,080A,260
081A,082A,128
081A,083A,1807
081B,011B,244
081B,046B,218
081B,062B,249
081B,109B,102
081M,097M,247
081M,125M,109
081S,024S,178
081S,079S,474
081S,080S,414
081S,098S,161
081S,100S,186
081V,112V,250
081V,161V,164
082A,078A,255
082A,081A,345
082A,083A,1298
082B,047B,412
082B,138B,238
082M,040M,319
082S,075S,169
082S,083S,226
082S,093S,191
082S,104S,200
082V,017V,192
082V,018V,151
082V,064V,144
082V,065V,125
083A,036A,200
083A,062A,209
083A,077A,294
083A,078A,291
083A,079A,454
083A,080A,320
083A,081A,259
083A,082A,141
083A,116A,277
083B,011B,137
083B,068B,113
083B,098B,181
083M,084M,338
083M,085M,129
083M,086M,125
083M,087M,547
083S,082S,179
083S,085S,132
083S,088S,136
083S,090S,151
083S,104S,100
083V,047V,216
083V,135V,200
084A,008A,130
084B,305B,111
084B,306B,207
084B,307B,209
084M,083M,287
084M,085M,303
084M,087M,197
084S,024S,174
084S,085S,174
084S,086S,250
084V,130V,184
084V,144V,251
084V,161V,121
085A,008A,116
085A,054A,215
085B,095B,408
085B,116B,106
085B,134B,420
085M,084M,203
085M,086M,235
085S,024S,236
085S,048S,216
085S,083S,152
085S,084S,348
085S,086S,233
085S,087S,151
085S,088S,140
085S,089S,110
085V,101V,123
085V,140V,300
085V,152V,109
086A,054A,188
086B,075B,102
086B,102B,603
086B,133B,207
086B,213B,160
086M,034M,169
086M,085M,353
086M,087M,414
086S,084S,426
086S,085S,179
086S,088S,236
086S,102S,159
086V,120V,182
087A,092A,302
087B,139B,296
087M,083M,192
087M,086M,244
087S,085S,394
088A,092A,341
088A,093A,142
088B,016B,107
088B,089B,289
088M,081M,346
088M,089M,277
088M,090M,122
088M,091M,665
088M,125M,400
088M,126M,130
088S,083S,253
088S,085S,131
088S,086S,426
088S,102S,173
088V,103V,117
089A,092A,142
089A,093A,105
089B,016B,473
089B,088B,139
089M,088M,385
089M,090M,637
089M,117M,362
089M,207M,123
089S,048S,273
089S,090S,531
089S,092S,121
089S,093S,117
089V,051V,399
089V,075V,251
089V,142V,213
08AS,21AS,207
08AS,72AS,176
08AS,73AS,497
08CC,44CC,109
08CZ,07CZ,282
08CZ,09CZ,433
08CZ,15CZ,473
08CÑ,83CÑ,101
08GC,04GC,101
08GC,19GC,689
08LE,06LE,125
08LO,20LO,146
08LU,09LU,131
08MA,19MA,125
08MU,23MU,111
08MU,33MU,248
08MU,67MU,106
08MU,68MU,226
08NA,46NA,134
08OU,05OU,109
08SO,10SO,131
08TA,52TA,130
08TO,09TO,114
08TO,10TO,159
090A,021A,719
090A,057A,251
090A,092A,520
090M,088M,258
090M,089M,1037
090M,091M,650
090M,117M,201
090S,048S,124
090S,083S,140
090S,089S,340
090S,092S,110
090V,102V,131
090V,121V,110
090V,139V,161
090V,141V,203
091A,098A,124
091M,088M,868
091M,089M,107
091M,090M,401
091M,107M,298
091M,125M,141
091M,126M,473
091S,048S,152
091S,089S,179
091S,090S,232
091S,092S,141
091V,119V,198
091V,122V,222
091V,138V,113
091V,158V,119
092A,021A,101
092A,093A,101
092A,11MU,123
092M,094M,246
092M,095M,592
092S,090S,126
092S,093S,240
092V,136V,100
092V,148V,150
093A,092A,167
093A,37MU,104
093B,046B,259
093B,068B,407
093M,092M,122
093M,094M,139
093M,095M,174
093S,082S,195
093S,089S,110
093S,092S,204
093S,110S,127
093S,112S,154
093V,037A,132
093V,142V,176
094A,095A,253
094A,096A,1322
094B,077B,120
094B,078B,100
094B,135B,198
094M,092M,100
094M,095M,451
094S,036S,138
094S,077S,160
094S,095S,141
094S,096S,215
094V,063V,202
094V,160V,527
094V,165V,231
095A,094A,387
095A,096A,419
095B,013B,152
095B,085B,422
095B,096B,351
095B,134B,207
095M,092M,147
095M,094M,153
095S,094S,231
095S,096S,254
095S,112S,122
095V,103V,106
096A,094A,475
096A,095A,118
096A,106A,126
096B,095B,199
096S,075S,175
096S,094S,275
096S,095S,182
096S,112S,196
096V,054V,134
096V,151V,137
097A,098A,591
097A,099A,511
097B,016B,140
097B,078B,271
097B,265B,101
097M,081M,246
097M,123M,250
097M,131M,130
097S,079S,171
097S,098S,565
097S,099S,273
097S,100S,545
097V,160V,436
097V,165V,232
